"55660","BEEN","6885","x1","","$530.00","",""
"55660","BEEN","6885","x2","","$530.00","",""
"55660","BEEN","6885","x3","","$530.00","",""
"55660","BEEN","6885","x4","","$530.00","",""
"55660","BEEN","6885","x5","11/5/2007","$10.00","5","$2,130.00"
"","","","","","","",""
"90210","AAAAA","6950","y1","","$25.00","",""
"90210","AAAAA","6950","y2","","$25.00","",""
"90210","AAAAA","6950","y3","","$25.00","",""
"90210","AAAAA","6950","y4","","$25.00","",""
"90210","AAAAA","6950","y5","","$25.00","",""
"90210","AAAAA","6950","y6","","$25.00","",""
"90210","AAAAA","6950","y7","","$25.00","",""
"90210","AAAAA","6950","y8","","$25.00","",""
"90210","AAAAA","6950","y9","","$25.00","",""
"90210","AAAAA","6950","y10","","$25.00","",""
"90210","AAAAA","6950","y11","","$25.00","",""
"90210","AAAAA","6950","y12","","$25.00","",""
"90210","AAAAA","6950","y13","11/18/2007","$25.00","13","$325.00"
"","","","","","","",""
"90210","AAAAA","1974","z1","","$555.00","",""
"90210","AAAAA","1974","z2","","$555.00","",""
"90210","AAAAA","1974","z3","","$555.00","",""
"90210","AAAAA","1974","z4","","$555.00","",""
"90210","AAAAA","1974","z5","","$555.00","",""
"90210","AAAAA","1974","z6","11/7/2007","$555.00","6","$3,330.00"
