"2007","76810","sfdgsdfg","1","5"
"2007","76810","sfdgsdfg","2","3"
"2007","76810","sfdgsdfg","3","4"
"2007","76810","sfdgsdfg","4",""
"2007","76810","sfdgsdfg","5",""
"2007","76810","sfdgsdfg","6","5"
"2007","76810","sfdgsdfg","7","2"
"2007","76810","sfdgsdfg","8","3"
"2007","76810","sfdgsdfg","9","5"
"2007","76810","sfdgsdfg","10","1"
"2007","76810","sfdgsdfg","11","1"
"2007","76810","sfdgsdfg","12","6"
"2007","28054","asdef tuj","1","7"
"2007","28054","asdef tuj","2","3"
"2007","28054","asdef tuj","3",""
"2007","28054","asdef tuj","4","8"
"2007","28054","asdef tuj","5","4"
"2007","28054","asdef tuj","6","3"
"2007","28054","asdef tuj","7","7"
"2007","28054","asdef tuj","8","3"
"2007","28054","asdef tuj","9",""
"2007","28054","asdef tuj","10","6"
"2007","28054","asdef tuj","11","3"
"2007","28054","asdef tuj","12","6"
