"2007","76810","sfdgsdfg","1","5"
"2007","76810","sfdgsdfg","2","3"
"2007","76810","sfdgsdfg","3","4"
"2007","76810","sfdgsdfg","4",""
"2007","76810","sfdgsdfg","5",""
"2007","76810","sfdgsdfg","6","5"
"2007","76810","sfdgsdfg","7","2"
"2007","76810","sfdgsdfg","8","3"
"2007","76810","sfdgsdfg","9","5"
"2007","76810","sfdgsdfg","10","1"
"2007","76810","sfdgsdfg","11","1"
"2007","76810","sfdgsdfg","12","6"
"2007","28054","asdef tuj","1","7"
"2007","28054","asdef tuj","2","3"
"2007","28054","asdef tuj","3",""
"2007","28054","asdef tuj","4","8"
"2007","28054","asdef tuj","5","4"
"2007","28054","asdef tuj","6","3"
"2007","28054","asdef tuj","7","7"
"2007","28054","asdef tuj","8","3"
"2007","28054","asdef tuj","9",""
"2007","28054","asdef tuj","10","6"
"2007","28054","asdef tuj","11","3"
"2007","28054","asdef tuj","12","6"
"2007","133329","ghjdsrtfgws","1","2"
"2007","133329","ghjdsrtfgws","2","2"
"2007","133329","ghjdsrtfgws","3","2"
"2007","133329","ghjdsrtfgws","4","3"
"2007","133329","ghjdsrtfgws","5","4"
"2007","133329","ghjdsrtfgws","6","3"
"2007","133329","ghjdsrtfgws","7","4"
"2007","133329","ghjdsrtfgws","8","2"
"2007","133329","ghjdsrtfgws","9","4"
"2007","133329","ghjdsrtfgws","10","4"
"2007","133329","ghjdsrtfgws","11",""
"2007","133329","ghjdsrtfgws","12","5"
