"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","RM 7","71.7","RM 0913211","36"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","RM 10","24","RM 0910156","36"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","RM 68","1","RM 0910152","36"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","RM 101","3.3","RM 0815281","36"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","MR 64","6.81","M 0913326","36"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","Err:512","Err:512","Err:512","Err:512"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","Err:512","Err:512","Err:512","Err:512"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","Err:512","Err:512","Err:512","Err:512"
"016/2010-11","5/15/2010","LAB BLEND","FG-016","DD 1005074","0.844","Err:512","Err:512","Err:512","Err:512"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 11","1160","RM 0911177","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 12","400","RM 0904006","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 16","408","RM 0915258","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 12","10","RM 0909113","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 27","20","RM 0913217","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 15","1","RM 0804010","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","RM 61","1","RM 0811186","11"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","FH 19","71.7","Err:512","Err:512"
"008/2010-11","4/22/2010","TT-502","FG-008","DD 1004033","0.877","Err:512","Err:512","Err:512","Err:512"
